,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
13,0.2308196544647217,0.00880341660832345,0.003559780120849609,0.00017844456988915148,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.784493753284894,0.7166474440526649,0.7745718762675995,0.7454312742086027,0.7361077051830078,0.7514504105993536,0.024937280378241295,45,-7.547764281549619,-8.661487462111364,-8.127064380099709,-8.210622772879633,-8.947603777202628,-8.29890853476859,0.48037724227936807,45
49,0.7809511661529541,0.7330728021815736,0.006841707229614258,0.0062777190715582725,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.785226738170448,0.7165920647425982,0.7733805086743524,0.7454710159042431,0.7357636019326381,0.7512867858848559,0.02497426292593315,46,-7.5349175323967685,-8.662333834863455,-8.148511487300636,-8.209981852031282,-8.953435505850424,-8.301836042488514,0.48469580803018947,46
10,0.10702519416809082,0.005440021508691989,0.0031682968139648436,5.8050571607487825e-05,0.01,0.01,3,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7223940013972525,0.6337255933347399,0.7141412525509453,0.6755843748109049,0.6492836700905025,0.6790257784368692,0.034820805054130675,47,-8.566488182241228,-9.847640835501325,-9.151776282647404,-9.268820182075746,-10.315051085915714,-9.429955313676283,0.6011288234957867,47
46,0.11245570182800294,0.009282288620935563,0.004265403747558594,0.0022126017322678,0.1,0.01,3,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7223940013972525,0.6337255933347399,0.7141412525509453,0.6755843748109049,0.6492836700905025,0.6790257784368692,0.034820805054130675,47,-8.566488182241228,-9.847640835501325,-9.151776282647404,-9.268820182075746,-10.315051085915714,-9.429955313676283,0.6011288234957867,47
15,0.14666852951049805,0.01151234825558376,0.0031373977661132814,0.00019208586967298588,0.01,0.01,9,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.08885376846675797,-0.060633793846063266,0.11562710793997255,0.022422014495544595,0.045588354883919324,0.042371490388026234,0.060902226665403264,49,-15.519668432597408,-16.757593222219654,-16.09708965621138,-16.089749458799258,-17.0161479955291,-16.296049753071358,0.5322549650391875,49
51,0.14995527267456055,0.009721265373841447,0.003103494644165039,5.3759662515903444e-05,0.1,0.01,9,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.08895509151554104,-0.060626834177552436,0.11548465875794867,0.02243832133148338,0.04557407589443363,0.04236506266437086,0.060879897704245074,50,-15.518805484485046,-16.757538242128568,-16.098386012616206,-16.089615262856444,-17.016275284676702,-16.296124057352593,0.5324455315605832,50
48,0.11834392547607422,0.010942885133285478,0.0030488967895507812,0.00014685911002137528,0.1,0.01,6,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.0878315731509719,-0.06601424592472083,0.11593459802162709,0.02158891335780433,0.048840523411656234,0.04163627240346775,0.0627641281855118,51,-15.528371583042716,-16.800043957902634,-16.094290991883586,-16.096603916529784,-16.987131897422593,-16.301288469356262,0.5293925727041059,51
12,0.11427435874938965,0.006643406868481402,0.003020572662353516,0.00023880733267123345,0.01,0.01,6,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.08759235891465156,-0.06601294770806021,0.1159346783635975,0.021612331893090087,0.048840523411656234,0.04159338897498703,0.06272705929257291,52,-15.530407590832038,-16.800033728159605,-16.09429026057622,-16.096411277082204,-16.987131897422593,-16.30165495081453,0.5288114258757692,52
9,0.05981078147888184,0.013815811094287036,0.002875614166259766,6.349125706936053e-05,0.01,0.01,3,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.019624851255018005,-0.14336048306330063,0.05187599915525343,-0.046898877691730734,-0.02992983254910464,-0.029737668578772913,0.06678643143923324,53,-16.09846782457735,-17.398848351604588,-16.667183702835416,-16.65044872762397,-17.676537880032523,-16.89829729733477,0.567587765028436,53
45,0.05787768363952637,0.006277106659454604,0.003029060363769531,0.0001962768206104649,0.1,0.01,3,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.019624851255018005,-0.14336048306330063,0.05187599915525343,-0.046898877691730734,-0.02992983254910464,-0.029737668578772913,0.06678643143923324,53,-16.09846782457735,-17.398848351604588,-16.667183702835416,-16.65044872762397,-17.676537880032523,-16.89829729733477,0.567587765028436,53
41,0.7262584686279296,0.21777208816270144,0.0049441814422607425,0.00016829788996318223,0.1,0.001,6,500,"{'gamma': 0.1, 'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500}",-1.2341310480343712,-1.4617015629041439,-1.1193458472050861,-1.2968451942779242,-1.2062876309000297,-1.263662256664311,0.11429071718084745,55,-24.302039308118015,-25.529753086524106,-24.918997615542988,-24.662632845242463,-25.87166948392951,-25.057018467871416,0.5712648430129463,55
5,0.545762300491333,0.010673915984340494,0.006523704528808594,0.003104528253318814,0.01,0.001,6,500,"{'gamma': 0.01, 'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500}",-1.2342096875688986,-1.4616973039460572,-1.1193394018694804,-1.2968231428567676,-1.206290010702412,-1.2636719093887234,0.1142852910117829,56,-24.302467010030117,-25.529731002166475,-24.918959723798014,-24.662514455154533,-25.871683437106604,-25.057071125651152,0.5711703202565231,56
44,0.7958672046661377,0.1589933990994187,0.0054852008819580075,7.378176404198601e-05,0.1,0.001,9,500,"{'gamma': 0.1, 'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 500}",-1.2332162163617446,-1.4587893447116413,-1.1194131337047084,-1.2995088157342627,-1.2088336784086393,-1.2639522377841992,0.11322550921059711,57,-24.29706320081415,-25.514647637878436,-24.919393185434924,-24.676929168673404,-25.886593083665932,-25.05892525529337,0.5724580199244677,57
8,1.065117359161377,0.8047569483078829,0.005469179153442383,0.00017897284757885997,0.01,0.001,9,500,"{'gamma': 0.01, 'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 500}",-1.2332589888268592,-1.4588107450768049,-1.1194479136948647,-1.2995096141383624,-1.2088727546194762,-1.2639800032712736,0.11321791881203996,58,-24.29729587875739,-25.51475867252025,-24.919597650690015,-24.676933452666482,-25.886822060955012,-25.059081543117827,0.5724694452697545,58
2,0.27485203742980957,0.009318943392137083,0.0037769317626953126,8.387585944085477e-05,0.01,0.001,3,500,"{'gamma': 0.01, 'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500}",-1.277516223075724,-1.4982007893995268,-1.1514201908807755,-1.3356719574241085,-1.2665885825690744,-1.3058795486698418,0.11320865578186781,59,-24.5368685652017,-25.718319331772783,-25.106852548658466,-24.870212630947012,-26.222840759697363,-25.291018767255462,0.6050810731993036,59
38,1.7433884620666504,1.3887850551274505,0.009912633895874023,0.010592689712601178,0.1,0.001,3,500,"{'gamma': 0.1, 'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500}",-1.277516223075724,-1.4982007893995268,-1.1514201908807755,-1.3356719574241085,-1.2665885825690744,-1.3058795486698418,0.11320865578186781,59,-24.5368685652017,-25.718319331772783,-25.106852548658466,-24.870212630947012,-26.222840759697363,-25.291018767255462,0.6050810731993036,59
7,0.2620062351226807,0.01723575272887515,0.003658914566040039,4.753246160078127e-05,0.01,0.001,9,200,"{'gamma': 0.01, 'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 200}",-2.868168954488216,-3.1871130430731727,-2.6398064934359606,-2.93894736827658,-2.7713578180546974,-2.8810787354657252,0.1829882034627596,61,-31.977250161060315,-33.295554873553804,-32.65643704726314,-32.29711009931564,-33.8253468737452,-32.81033981098762,0.6703435174341299,61
43,0.7351290702819824,0.7297904369570225,0.005250692367553711,0.002583233835761853,0.1,0.001,9,200,"{'gamma': 0.1, 'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 200}",-2.8681753765022227,-3.1871160976069985,-2.6398032433870964,-2.9389449067673103,-2.7713602001904767,-2.881079964890821,0.18298955026624186,62,-31.97727670569495,-33.29556701824384,-32.65642246749908,-32.29710000783169,-33.825357556443606,-32.81034475114264,0.6703441276986276,62
